POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
74.24_22.72;0.0017377924548534515;0.033903195119838615;65.942;-0.1768092867678417;0.0009160852754616191;0.02317159438989023;19.411;0.3796395785793518;-0.0008217071793918324;-0.010731600729948384;-46.53099999999999;0.20283029181151013;74.24;22.72
74.04_22.72;0.0015141757562750254;0.031216101915496085;33.051;0.06300643783077775;0.0009046608964595998;0.023564577980023198;-76.401;0.44018292961301486;-0.0006095148598154257;-0.007651523935472887;43.349999999999994;0.3771764917822371;74.04;22.72
73.84_22.72;0.001452060774971784;0.030584338094170417;8.887;0.04172553858942274;0.0006395236346572037;0.019509842020757912;-17.645;0.5779521235449838;-0.0008125371403145804;-0.011074496073412505;8.758;0.5362265849555611;73.84;22.72
76.84_23.72;0.0030256312773850685;0.049501079080435294;108.541;-2.390735580039319;0.0006096648318302535;0.01850136209679113;54.371;0.31676663556567386;-0.0024159664455548147;-0.030999716983644163;-54.169999999999995;-2.0739689444736453;76.84;23.72
76.64_23.72;0.003071823415609648;0.049679611521028164;87.275;-2.2306291966761247;0.0006029533683314138;0.01828934919262675;42.795;0.36587541260763323;-0.002468870047278234;-0.03139026232840141;-44.480000000000004;-1.8647537840684913;76.64;23.72
76.44_23.72;0.003071823415609648;0.049679611521028164;87.275;-2.2306291966761247;0.0007465246301345542;0.02165197641325147;42.875;0.21488186661540565;-0.0023252987854750938;-0.028027635107776692;-44.400000000000006;-2.015747330060719;76.44;23.72
76.24_23.72;0.0032772358665608377;0.0511325094532382;-520.576;-2.2638224787753494;0.0008104697027790286;0.02191135626062613;-1508.56;0.19284746597366564;-0.002466766163781809;-0.029221153192612065;987.9839999999999;-2.070975012801684;76.24;23.72
76.04_23.72;0.0035199149186390414;0.052863339952805254;111.617;-2.3818563717615993;0.0007783229077235205;0.02022581252025743;61.895;0.25220457152682496;-0.002741592010915521;-0.03263752743254782;-49.722;-2.1296518002347744;76.04;23.72
75.84_23.72;0.0030489537601897368;0.04807027748352692;54.975;-1.821874788176038;0.0007159935089619291;0.020076629063273878;-99.117;0.3373320193246785;-0.002332960251227808;-0.027993648420253044;44.142;-1.4845427688513595;75.84;23.72
75.64_23.72;0.0030489537601897368;0.04807027748352692;54.975;-1.821874788176038;0.0009023286542060281;0.023731063306597636;-67.408;0.16487468153851226;-0.002146625105983709;-0.024339214176929285;12.433;-1.6570001066375257;75.64;23.72
